id_insumo;id_presentacion;id_unidad_medida;cantidad_presentacion;precio_unitario;codigo_barras;estado
1;9;1;1;;1;TRUE
2;6;8;100;;2;TRUE
3;19;2;500;;3;TRUE
4;1;6;1;;4;TRUE
5;6;8;1;;5;TRUE
6;9;1;1;;6;TRUE
7;1;6;250;;7;TRUE
8;9;1;1;;8;TRUE
9;4;2;1;;9;TRUE
10;19;6;100;;10;TRUE
11;19;6;1;;11;TRUE
12;19;2;1;;12;TRUE
13;1;6;1;;13;TRUE
14;1;6;1;;14;TRUE
15;1;6;1;;15;TRUE
16;22;8;1;;16;TRUE
17;3;8;1;;17;TRUE
18;6;8;1;;18;TRUE
19;6;8;1;;19;TRUE
20;1;6;1;;20;TRUE
21;9;1;1;;21;TRUE
22;6;8;1;;22;TRUE
23;3;8;1;;23;TRUE
24;3;8;1;;24;TRUE
25;3;8;1;;25;TRUE
26;3;8;1;;26;TRUE
27;22;8;1;;27;TRUE
28;1;6;1;;28;TRUE
29;3;8;1;;29;TRUE
30;6;8;1;;30;TRUE
31;6;8;1;;31;TRUE
32;6;8;1;;32;TRUE
33;1;6;1;;33;TRUE
34;1;6;1;;34;TRUE
35;19;2;1;;35;TRUE
36;6;8;1;;36;TRUE
37;1;6;1;;37;TRUE
38;1;6;1;;38;TRUE
39;22;8;1;;39;TRUE
40;1;6;1;;40;TRUE
41;1;6;1;;41;TRUE
42;19;2;1;;42;TRUE
43;1;6;1;;43;TRUE
44;1;6;1;;44;TRUE
45;6;8;1;;45;TRUE
46;19;2;1;;46;TRUE
47;22;8;1;;47;TRUE
48;19;2;1;;48;TRUE
49;12;6;1;;49;TRUE
50;1;6;1;;50;TRUE
51;1;6;1;;51;TRUE
52;1;6;1;;52;TRUE
53;1;6;1;;53;TRUE
54;1;6;1;;54;TRUE
55;1;6;1;;55;TRUE
56;19;2;1;;56;TRUE
57;1;6;1;;57;TRUE
58;14;11;1;;58;TRUE
59;1;6;1;;59;TRUE
60;6;8;1;;60;TRUE
61;1;6;1;;61;TRUE
62;1;6;1;;62;TRUE
63;1;6;1;;63;TRUE
64;1;6;1;;64;TRUE
65;1;6;1;;65;TRUE
66;19;2;1;;66;TRUE
67;1;6;1;;67;TRUE
68;4;2;1;;68;TRUE
69;19;2;1;;69;TRUE
70;4;2;1;;70;TRUE
71;19;2;1;;71;TRUE
72;21;2;1;;72;TRUE
73;1;6;1;;73;TRUE
74;9;1;1;;74;TRUE
75;6;8;1;;75;TRUE
76;9;1;1;;76;TRUE
77;15;3;1;;77;TRUE
78;1;6;1;;78;TRUE
79;3;8;1;;79;TRUE
80;6;8;1;;80;TRUE
81;3;8;1;;81;TRUE
82;6;8;1;;82;TRUE
83;3;8;1;;83;TRUE
84;6;8;1;;84;TRUE
85;3;8;1;;85;TRUE
86;6;8;1;;86;TRUE
87;3;8;1;;87;TRUE
88;6;8;1;;88;TRUE
89;3;8;1;;89;TRUE
90;6;8;1;;90;TRUE
91;3;8;1;;91;TRUE
92;6;8;1;;92;TRUE
93;1;6;1;;93;TRUE
94;1;6;1;;94;TRUE
95;1;6;1;;95;TRUE
96;1;6;1;;96;TRUE
97;1;6;1;;97;TRUE
98;1;6;1;;98;TRUE
99;3;8;1;;99;TRUE
100;6;8;1;;100;TRUE
101;3;8;1;;101;TRUE
102;6;8;1;;102;TRUE
103;3;8;1;;103;TRUE
104;6;8;1;;104;TRUE
105;3;8;1;;105;TRUE
106;6;8;1;;106;TRUE
107;3;8;1;;107;TRUE
108;6;8;1;;108;TRUE
109;1;6;1;;109;TRUE
110;1;6;1;;110;TRUE
111;1;6;1;;111;TRUE
112;1;6;1;;112;TRUE
113;12;6;1;;113;TRUE
114;1;6;1;;114;TRUE
115;1;6;1;;115;TRUE
116;13;8;1;;116;TRUE
117;13;8;1;;117;TRUE
118;13;8;1;;118;TRUE
119;1;6;1;;119;TRUE
120;1;6;1;;120;TRUE
121;12;6;1;;121;TRUE
122;1;6;1;;122;TRUE
123;1;6;1;;123;TRUE
124;1;6;1;;124;TRUE
125;11;8;1;;125;TRUE
126;12;6;1;;126;TRUE
127;1;6;1;;127;TRUE
128;19;2;1;;128;TRUE
129;1;6;1;;129;TRUE
130;1;6;1;;130;TRUE
131;1;6;1;;131;TRUE
132;1;6;1;;132;TRUE
133;11;8;1;;133;TRUE
134;19;2;1;;134;TRUE
135;1;6;1;;135;TRUE
136;1;6;1;;136;TRUE
137;1;6;1;;137;TRUE
138;9;1;1;;138;TRUE
139;1;6;1;;139;TRUE
140;1;6;1;;140;TRUE
141;1;6;1;;141;TRUE
142;1;6;1;;142;TRUE
143;1;6;1;;143;TRUE
144;1;6;1;;144;TRUE
145;1;6;1;;145;TRUE
146;6;8;1;;146;TRUE
147;1;6;1;;147;TRUE
148;1;6;1;;148;TRUE
149;4;2;1;;149;TRUE
150;19;2;1;;150;TRUE
151;1;6;1;;151;TRUE
152;18;10;1;;152;TRUE
153;4;2;1;;153;TRUE
154;19;2;1;;154;TRUE
155;3;8;1;;155;TRUE
156;6;8;1;;156;TRUE
157;1;6;1;;157;TRUE
158;1;6;1;;158;TRUE
159;1;6;1;;159;TRUE
160;1;6;1;;160;TRUE
161;1;6;1;;161;TRUE
162;1;6;1;;162;TRUE
163;1;6;1;;163;TRUE
164;6;8;1;;164;TRUE
165;4;2;1;;165;TRUE
166;19;2;1;;166;TRUE
167;6;8;1;;167;TRUE
168;4;2;1;;168;TRUE
169;19;2;1;;169;TRUE
170;1;6;1;;170;TRUE
171;1;6;1;;171;TRUE
172;3;8;1;;172;TRUE
173;1;6;1;;173;TRUE
174;6;8;1;;174;TRUE
175;6;8;1;;175;TRUE
176;1;6;1;;176;TRUE
177;1;6;1;;177;TRUE
178;4;2;1;;178;TRUE
179;19;2;1;;179;TRUE
180;1;6;1;;180;TRUE
181;22;8;1;;181;TRUE
182;22;8;1;;182;TRUE
183;3;8;1;;183;TRUE
184;6;8;1;;184;TRUE
185;3;8;1;;185;TRUE
186;6;8;1;;186;TRUE
187;6;8;1;;187;TRUE
188;17;2;1;;188;TRUE
189;1;6;1;;189;TRUE
190;1;6;1;;190;TRUE
191;1;6;1;;191;TRUE
192;1;6;1;;192;TRUE
193;4;2;1;;193;TRUE
194;19;2;1;;194;TRUE
195;4;2;1;;195;TRUE
196;19;2;1;;196;TRUE
197;1;6;1;;197;TRUE
198;1;6;1;;198;TRUE
199;6;8;1;;199;TRUE
200;1;6;1;;200;TRUE
201;1;6;1;;201;TRUE
202;19;2;1;;202;TRUE
203;1;6;1;;203;TRUE
204;4;2;1;;204;TRUE
205;19;2;1;;205;TRUE
206;1;6;1;;206;TRUE
207;6;8;1;;207;TRUE
208;1;6;1;;208;TRUE
209;1;6;1;;209;TRUE
210;6;8;1;;210;TRUE
211;4;2;1;;211;TRUE
212;19;2;1;;212;TRUE
213;11;8;1;;213;TRUE
214;1;6;1;;214;TRUE
215;1;6;1;;215;TRUE
216;1;6;1;;216;TRUE
217;22;8;1;;217;TRUE
218;4;2;1;;218;TRUE
219;19;2;1;;219;TRUE
220;1;6;1;;220;TRUE
221;1;6;1;;221;TRUE
222;1;6;1;;222;TRUE
223;1;6;1;;223;TRUE
224;20;3;1;;224;TRUE
225;1;6;1;;225;TRUE
226;1;6;1;;226;TRUE
227;6;8;1;;227;TRUE
228;1;6;1;;228;TRUE
229;4;2;1;;229;TRUE
230;19;2;1;;230;TRUE
231;1;6;1;;231;TRUE
232;4;2;1;;232;TRUE
233;19;2;1;;233;TRUE
234;11;8;1;;234;TRUE
235;1;6;1;;235;TRUE
236;1;6;1;;236;TRUE
237;1;6;1;;237;TRUE
238;16;2;1;;238;TRUE
239;6;8;1;;239;TRUE
240;4;2;1;;240;TRUE
241;19;2;1;;241;TRUE
242;1;6;1;;242;TRUE
243;11;8;1;;243;TRUE
244;17;2;1;;244;TRUE
245;6;8;1;;245;TRUE
246;11;8;1;;246;TRUE
247;3;8;1;;247;TRUE
248;6;8;1;;248;TRUE
249;3;8;1;;249;TRUE
250;6;8;1;;250;TRUE
251;3;8;1;;251;TRUE
252;3;8;1;;252;TRUE
253;1;6;1;;253;TRUE
254;1;6;1;;254;TRUE
255;4;2;1;;255;TRUE
256;19;2;1;;256;TRUE
257;1;6;1;;257;TRUE
258;1;6;1;;258;TRUE
259;1;6;1;;259;TRUE
260;1;6;1;;260;TRUE
261;9;1;1;;261;TRUE
262;9;1;1;;262;TRUE
263;1;6;1;;263;TRUE
264;4;2;1;;264;TRUE
265;19;2;1;;265;TRUE
266;1;6;1;;266;TRUE
267;1;6;1;;267;TRUE
268;5;11;1;;268;TRUE
269;1;6;1;;269;TRUE
270;1;6;1;;270;TRUE
271;4;2;1;;271;TRUE
272;19;2;1;;272;TRUE
273;1;6;1;;273;TRUE
274;6;8;1;;274;TRUE
